2025-09-30 23:35:43 | INFO     | logging:callHandlers:1762 | Received query: 'Why is TSLA volatile today?' for symbol: TSLA
2025-09-30 23:35:43 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis for TSLA: ✅ Normal market activity (anomaly score: 0.61). Current p...
2025-09-30 23:36:46 | INFO     | logging:callHandlers:1762 | Received query: 'What are the recent market anomalies?' for symbol: None
2025-09-30 23:36:46 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ✅ Normal market activity (anomaly score: 0.61). Current price is $...
2025-09-30 23:37:04 | INFO     | logging:callHandlers:1762 | Received query: 'Should I buy AAPL?' for symbol: AAPL
2025-09-30 23:37:04 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis for AAPL: ✅ Normal market activity (anomaly score: 0.61). Current p...
2025-09-30 23:37:12 | INFO     | logging:callHandlers:1762 | Received query: 'Is there a market crash happening?' for symbol: None
2025-09-30 23:37:12 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ✅ Normal market activity (anomaly score: 0.61). Current price is $...
2025-09-30 23:46:48 | INFO     | logging:callHandlers:1762 | Received query: 'Why APL volatile today' for symbol: None
2025-09-30 23:46:48 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $25...
2025-10-01 00:02:48 | INFO     | logging:callHandlers:1762 | Received query: 'Why AAPL is volatile today?' for symbol: None
2025-10-01 00:02:48 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $25...
2025-10-01 00:03:20 | INFO     | logging:callHandlers:1762 | Received query: 'What is happening with NVDA today?' for symbol: None
2025-10-01 00:03:20 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $25...
2025-10-01 00:03:53 | INFO     | logging:callHandlers:1762 | Received query: 'What is happening with GOOGLE today?' for symbol: None
2025-10-01 00:03:53 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $26...
2025-10-01 00:03:56 | INFO     | logging:callHandlers:1762 | Received query: 'What is happening with GOOGLE today?' for symbol: None
2025-10-01 00:03:56 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $26...
2025-10-01 00:04:05 | INFO     | logging:callHandlers:1762 | Received query: 'What is happening with GOOGLE today?' for symbol: None
2025-10-01 00:04:05 | INFO     | logging:callHandlers:1762 | Generated response: Based on current market analysis: ⚠️ Moderate anomaly activity with score 2.39. Current price is $25...
